01-EE-000018,CHRISTIAN DEV'T CHILD CENTER,BIE,near RNTVS,"Sto. Domingo, Iriga City",, ,
01-EE-000005,LITTLE ANGEL KIDDIE SCHOOL,BIE,"Sampaguita St.,","San Miguel, Iriga City",, ,
01-DM-000006,BETHEL KIDDIE SCHOOL (E),BIE,,"Unisan, Quezon",, ,
01-EG-000005,ATTY. MANUEL ABINUMAN MEMORIAL COLLEGES,BIE,,,, ,
01-EA-000019,EVANGELICAL KIDDIE LEARNING CENTER,BIE,"Antipolo St., Happy Homes Subd.,","Tabaco City, Albay",, ,
01-DM-000167,OUR LADY OF PEACE PAROCHIAL SCHOOL,BIE,,,,Gumaca,
01-DM-000168,ST. JOSEPH CATHECHETICAL CENTER FOR KID,BIE,,, ,Gumaca,
01-EA-000029,HOLY TRINITY FOUNDATION LEARNING SCH.,BIE,"Tinago,","Ligao City, Albay",, ,
01-DM-000175,CREATIVE GENIUS MONTESSORI,BIE,"Brgy. Tabing Dagat,","Gumaca, Quezon",,,
01-EG-000036,ST. RAPHAEL LEARNING SCHOOL,BIE,"Aroroy, 5414,","Poblacion, Arroyo, Masbate",,,
01-DM-000164,BATICAN CHRISTIAN ACADEMY,BIE,"#35 Brgy. Batican, ","#35 Brgy. Batican, Infanta, Quezon",, ,
01-DH-000024,ONE IN CHRIST SCHOOL - LUCENA CITY,BIE,"Greenhills Ph III, cor Dalahican Rd.,","Marketview, Lucena City",, ,LCAPS
01-EA-000045,OUR LADY OF SALVATION CENTER,BIE,Sipi,"Daraga, Albay",DM,Legazpi,
01-EB-000012,GREENVIEW CHRISTIAN LEARNING CENTER,BIE,,"Daet, Camarines Norte",, ,
01-DM-000176,TIAONG CHRISTIAN ACADEMY,BIE,"384 Cassandra Subd., Quipat,","Tiaong, Quezon",,,
01-EA-000010,CHERUBIM OF JESUS LEARNING CENTER,BIE,"99-27 Mabatag, Sagpon,","Daraga, Albay",, ,
01-EA-000070,SWEETHEART LAWRENCE LEARNING CENTER,BIE,"San Rafael St.,","Poblacion, Tiwi, Albay",, ,
01-DM-000173,ST. PAUL PAROCHIAL SCHOOL,BIE,"Pitogo 4308,","Pitogo, Quezon", , , 
01-DM-000024,DISCIPLES CHRISTIAN SCHOOL,BIE,"Rizal St., Pob. 38,","Infanta, Quezon",, ,
01-EI-000031,MOTHER MARY MONTESSORI,BIE,"Burgos St., Bucabod St.,","Sorsogon City, Sorsogon",, ,
01-DH-000006,CASA DEL NINO JESUS DE COTTA,BIE,"St. Jude Church Cotta,",Lucena City, ,Lucena,LUDICSA
01-DH-000007,CHILDREN'S HOUSE MONT. SCH.,BIE,"Don Crisanto St.,","Market View Subd., Lucena City", , ,
01-DH-000009,GOOD NEWS CHRISTIAN SCH. INC.,BIE,"Aguila St., Calmar Homes,","Kanlurang Mayao, Lucena City", , ,
01-DH-000031,SOUTH CENTRAL LUZON ELEM. SCH.,BIE,Governor Guinto Street,Lucena City, , ,
01-DM-000018,CHRIST THE LORD MONTESSORI,BIE,"Gamborza St.,","Lucban, Quezon (Bonggo)", , ,
01-DM-000020,CHRISTIAN FAITH MONTESSORI,BIE,"20 De Julio St.,","Poblacion, Infanta, Quezon", , ,
01-DM-000021,CHRISTIAN HERITAGE ACADEMY,BIE,,"Real, Quezon", , ,
01-DM-000035,FAMILY KIDDIE SCHOOL,BIE,"A. Mabini St.,","Pagbilao, Quezon", , ,
01-DM-000036,FOUNDATIONAL LEARNING CENTER,BIE,"77 Horacio de Costa,","Mauban, Quezon", , ,
01-DM-000041,GOOD SHEPHERD KIDDIE CENTER-LUCBAN,BIE,,"Concepcion St., Lucban, Quezon", , ,
01-DM-000045,HIGHER GROUND LEARNING CENTER,BIE,,"San Narciso, Quezon", , ,
01-DM-000063,LEON GUINTO MEMORIAL COLLEGE,BIE,A. Mabini Street,"Atimonan, Quezon", , ,
01-DM-000074,LUCBAN UNITED CHURCH OF CHRIST LRNG. CTR,BIE,"A. Roselis Ave., cor B. Tolentino,","Lucban, Quezon", , ,
01-DM-000081,MA. THERESA CHILD DEV'T CENTER,BIE,,"Lopez, Quezon", , ,
01-DM-000086,MATER CARMELI CATH. SCH-QUEZON,BIE,,"Alabat, Quezon", ,Gumaca,
01-DM-000087,MONT. OF INFANT JESUS,BIE,,"San Narciso, Quezon", , ,
01-DM-000103,ONE IN CHRIST INT'L SCHOOL,BIE,"Brgy. Aliliw,","Lucban, Quezon", , ,
01-DM-000104,OUR LADY OF BLESSED FATIMA SCH,BIE,,"Tagkawayan, Quezon", , ,
01-DM-000125,SAN ROQUE PAROCHIAL SCHOOL (H),BIE,,"Ilasan, Tayabas, Quezon", ,Lucena,LUDICSA
01-DM-000136,ST. DIDACHE EDUCATIONAL CENTER,BIE,"Mabini St.,","Tayabas, Quezon", , ,
01-DM-000137,ST. DIDACUS INSTITUTE (E),BIE,"Naval Blvd., Brgy. San Diego","Gumaca, Quezon", , ,
01-DM-000138,ST. FRANCIS ACADEMY (HS),BIE,"San Francisco, Tiaong,",Quezon, ,Lucena,LUDICSA
01-DM-000152,ST. RAPHAEL CHILD LEARNING CTR.,BIE,,"Burdeos, Quezon", ,Daet,
01-DM-000153,STEADFAST LOVE LEARNING CENTER,BIE,"J.M. Torres Hall, A. Racelis Ave.,","Lucban, Quezon", , ,
01-DM-000165,WESTERN TAYABAS HIGH SCHOOL,BIE,,"Pitogo, Quezon", , ,
01-EA-000001,ALBAY KIDDIE KOLLEGE-LEGAZPI,BIE,"#2 Balintawak St., Old Albay,",Legazpi City, , ,
01-EA-000012,COL. DE STA. MONICA OF POLANGUI,BIE,,"Polangui, Albay", , ,
01-EA-000018,EARLY AGE LEARNING CENTER,BIE,"San Pedro St.,","Sto. Domingo, Albay", , ,
01-EA-000020,FAITH CHILDREN SCH. & TUTORIAL,BIE,"San Francisco,","Guinobatan, Albay", , ,
01-EA-000026,GUINOBATAN SDA MULTIGRADE SCH.,BIE,"Calzada, Guinobatan",Albay, , ,
01-EA-000035,LIGAO SDA MULTIGRADE SCHOOL-E,BIE,"Brgy. Tuburan,","Ligao, Albay", , ,
01-EA-000040,MAYON INST. OF SCIENCE & TECH.,BIE,"Tuburan,","Ligao, Albay", , ,
01-EA-000041,NAZARENE KINDER SCHOOL,BIE,"Dunao St.,","Ligao, Albay", , ,
01-EA-000053,SALLE'S LEARNING CENTER,BIE,Ilaod,"Polangui, Albay", , ,
01-EA-000061,ST. JAMES MONTESSORI SCHOOL,BIE,Centro,"Ligao, Albay", , ,
01-EA-000071,TABACO CHRISTIAN SCHOOL,BIE,"Regalado-Cabiles Bldg., Ziga Ave.,","Bombo N. Tabaco City, Albay", , ,
01-EB-000001,ANGELS CAMP PRE-SCHOOL,BIE,"J. Pimentel St.,","Daet, Camarines Norte", , ,
01-EB-000011,GOOD SHEPHERED CHRISTIAN LRNG. CTR.,BIE,"South Poblacion,","Jose Panganiban, Camarines Norte", , ,
01-EB-000020,LMVL LRNG. CTR.-LYDIA MAIDE VIRGIE LOPEZ,BIE,"Camia St., Greenview,","Daet, Camarines Norte", , ,
01-EB-000039,TODAY'S KIDS LEARNING CENTER,BIE,"Ophelia St.,","Daet, Camarines Norte", , ,
01-EB-000042,VINZONS PILOT ELEM. SCHOOL,BIE,,"Vinzons, Camarines Norte", , ,
01-EB-000043,YLAC CHILDREN'S CENTER,BIE,"Magallanes St.,","Daet, Camarines Norte", , ,
01-EC-000010,CAMARINES SUR HIGH SCHOOL,BIE,,"Pili, Camarines Sur", , ,
01-EC-000015,COL. DE STA. RITA,BIE,Del Gallego,Camarines Sur,DM,Libmanan,
01-EC-000021,FELIX ALFELOR FOUNDATION COLL.,BIE,"San Juan Ave.,","Sipocot, Camarines Sur", , ,
01-EC-000030,KOLEHIYO NG MAMAMAYAN (E),BIE,"San Isidro,","Pili, Camarines Sur", , ,
01-EC-000035,LITTLE THINKER'S EDUC. CENTER,BIE,Brgy. San Vicente,"Pili, Camarines Sur", , ,
01-EC-000054,PILI CAPITAL EDUC'L CTR. INC.,BIE,San Isidro,"Pili, Camarines Sur", , ,
01-EC-000059,QUEZON CAMARINES HIGH SCHOOL,BIE,"Poblacion,","Ragay, Camarines Sur", , ,
01-EC-000061,RAGAY SDA MULTIGRADE SCHOOL,BIE,"Lower Sta. Cruz,","Ragay, Camarines Sur", , ,
01-EC-000064,SAN LORENZO RUIZ FORMATION CENTER,BIE,"GRS, Ragay,",Camarines Sur,DM,Caceres,
01-EC-000073,ST. JOSEPH ACAD.-BUHI,BIE,,"Buhi, Camarines Sur", , ,
01-EC-000085,STA. RITA DE CASCIA SCHOOL,BIE,,"Del Gallego, Camarines Sur", ,Libmanan,
01-ED-000001,ASSUMPTA FORMATION CENTER,BIE,,"Virac, Catanduanes", ,Virac,
01-ED-000003,"IMM. CONCEPTION SCH.-CAVINITAN,VIRAC",BIE,"Imm. Conception Parish Church,","Cavinitan, Virac, Catanduanes", , ,
01-ED-000007,ST. JOHN THE BAPTIST CHILD FORMATION CTR,BIE,,"Bato, Catanduanes", ,Virac,
01-ED-000008,STARKIDS KINDERGARTEN SCHOOL,BIE,"116 Constantino,","Virac, Catanduanes", , ,
01-EE-000003,IRIGA SDA MULTIGRADE SCH. (E),BIE,,Iriga City, , ,
01-EE-000015,VERBUM DEI SCHOOL,BIE,"San Roque,",Iriga City, , ,
01-EF-000002,AMEC SCIENCE HIGH SCHOOL,BIE,,Legazpi City, , ,
01-EF-000017,LEGAZPI SDA MULTIGRADE SCH (E),BIE,"Marquez St., cor N. Rivera St.,","Old Albay, Legazpi City", , ,
01-EF-000020,NAZARENE KINDER SCHOOL,BIE,"1009 Rizal St.,","Legazpi City, Albay", , ,
01-EF-000023,SOUTHERN LUZON MISSION,BIE,"Rivera St., cor Marquez St.,","Old Albay, Legazpi City", , ,
01-EH-000010,FIRST UNITED METHODIST CHURCH D.C.C.,BIE,,"157 Bagumbayan Norte, Naga City", , ,
01-EH-000019,MC MARIANO ELEMENTARY SCHOOL,BIE,"Mariano Subd.,","Magsaysay Ave., Naga City", , ,
01-EH-000026,NAGA CITY SEED MONTESSORI SCHOOL,BIE,,"Magnolia St., Naga City", , ,
01-EH-000030,NAGA SDA MULTIGRADE SCHOOL,BIE,"Magsaysay Ave.,",Naga City, , ,
01-EI-000006,ANNUNCIATION COLLEGE-SORSOGON,BIE,"Magsaysay Ave.,",Sorsogon City, , ,
01-EI-000007,BAGONG NILALANG CHILD CARE (BNCC),BIE,,"Almendras, Sorsogon City", , ,
01-EI-000008,BAGONG PAG-AALAGA CHILD CARE,BIE,"Aguinaldo St., Poblacion Norte,","Barcelona, Sorsogon", , ,
01-EI-000010,BULAN MONTESSORI SCHOOL,BIE,"Padre Severino Diaz St.,","Zone 7, Bulan, Sorsogon", , ,
01-EI-000011,CHIANG KAI SHEK SCHOOL OF SORSOGON,BIE,(Frmly: Sorsogon Chinese School),"Magsaysay St., Sorsogon City", , ,
01-EI-000012,COL. DELA IMMACULADA CONC. (H),BIE,,"Bulan, Sorsogon", , ,
01-EI-000014,DR. SUN YAT SEN MEMORIAL SCH.,BIE,"Zone III, Disky St.,","Bulan, Sorsogon", , ,
01-EI-000016,EARLY EDUCATION CENTER,BIE,(near Gubat High School),"Gubat, Sorsogon", , ,
01-EI-000032,NAZARENE KINDERGARTEN SCHOOL,BIE,"cor. P. Diaz & Hilao Sts., Zone 6,","Bulan, Sorsogon", , ,
01-EI-000033,NEO KINDERGARTEN SCHOOL,BIE,,"Kugon, Sorsogon City", , ,
01-EI-000038,PARISH OF IMM. CONCEPCION SCHOOL,BIE,Town Proper,"Bulan, Sorsogon", , ,
01-EI-000039,QUEENSHIP OF MARY LRNG. CTR.,BIE,"Seabreeze Homes, Ph-III, Brgy Cabiaoan","Sorsogon, Sorsogon", , ,
01-DD-000942,ST. EDWARD INTEGRATED SCHOOL-IMUS,BUC,LANCASTER ESTATE ALAPAN 1,"Imus, Cavite", , ,LASSO
01-DP-000020,LICEO DE SAN PABLO,BUC,M. Paulino Street,San Pablo City, ,San Pablo,LICEO
01-DF-000334,MATER ECCLESIAE SCHOOL,BUC,"Villa Olympia Subd.,","San Pedro, Laguna",DVMI,,LACASA
01-DF-000104,COL. DE STA. ROSA DE LIMA,BUC,PHASE 1OLYMPIA PARK SUBD'LABAS,"Sta. Rosa, Laguna", , ,LAPRISADA
01-DF-000447,SOUTH CITY HOMES ACADEMY,BUC,"Tagbilaran St., South City Homes,","Binan, Laguna", , ,LAPRISADA
01-DF-000248,LADY OF ROSE ACADEMY,BUC,"Blk-10 Lot 16, Rosario Village,","Sala, Cabuyao, Laguna", , ,LAPRISADA
01-DD-000815,THE FIRST UNITING CHRISTIAN SCHOOL,BUC,"Blk 52 Lot 2, (R-5) City Homes,","Resort Village, Dasmarinas, Cavite", , ,CAPS
01-DF-000281,LICEO DE SAN PEDRO-LAGUNA,BUC,"Luna St.,","San Pedro, Laguna", ,San Pablo,LICEO
01-DD-000576,OUR LADY OF REMEDIOS MONTESSORI SCH.,BUC,"Sunshine Country, Brgy. Buenavista II,","General Trias, Cavite", , ,CAPS
01-DF-000090/01-DF-000091,CHRISTIAN INTERNATIONAL SCH.-E/HS,BUC,"Kanluran, UP College","Los Banos, Laguna", , ,LAPRISADA
01-DF-000277,LICEO DE PAKIL,BUC,ESTACA BURGOS ST,"Pakil, Laguna",,San Pablo,LICEO
01-DF-000265/01-DF-000266,LICEO DE CALAMBA (E/HS)-MAIN,BUC,Burgos Street,"Calamba, Laguna", ,San Pablo,LICEO
01-DD-000361,INFANT JESUS MONT.-SAN MARINO,BUC,"Central, San Marino City Subd.,","Salawag, Dasmarinas, Cavite", , ,CAPS
01-DF-000262,LICEO DE CABUYAO,BUC,A. Mabini Street,"Cabuyao, Laguna", ,San Pablo,LICEO
01-DF-000430,SAN LORENZO SCHOOL OF SAN PEDRO,BUC,"608 Mayumi St., United San Pedro Subd.,","San Pedro, Laguna", , ,LAPRISADA
01-DF-000193,HOLY REDEEMER SCHOOL,BUC,BGY BANLIC,"Cabuyao, Laguna", , ,LAPRISADA
01-DD-000052,ATHENEUM SCHOOL,BUC,"Sea View Subd., San Rafael II","Noveleta, Cavite", , ,CAPS
01-NH-000069,OUR LADY OF THE ABANDONED CATH. SCH.,BUC,"J.P. Rizal St.,","Poblacion, Muntinlupa City", ,PARA�AQUE,MAPSA
01-DF-000472,ST. GABRIEL ARCHANGEL ACADEMY,BUC,"B-22 L-15 Minosota St., South-","ville Subd., Binan, Laguna", , ,
01-DD-000161,CHRISTAR ACADEMY,BUC,"B-34 L-22 RV 2, City Homes,","Resortville, Dasmarinas, Cavite", , ,CAPS
01-DF-000282,LICEO DE VICTORIA,BUC,J. P. Rizal Street,"Victoria, Laguna", ,San Pablo,LICEO
01-DD-000765,ST. NICHOLAS DE MYRA SCHOOL,BUC,"Congressional East Ave.,","Burol, Dasmarinas, Cavite", , ,CAPS
01-NH-000048,MA. FERRARI SCHOOL,BUC,"409 Hersey St., Summit Home,","Bayanan, Muntinlupa City", , ,
01-DD-000211,DEI GRACIA ACADEMY-T.M.C,BUC,"La Trinidad Subd., Cabuco,","Trece Martirez City, Cavite", , ,CAPS
01-NH-000104,STO. NINO SCHOOL - MUNTINLUPA,BUC,"St. Anthony St., Sto. Nino Village","Poblacion, Muntinlupa City", , ,MUNTINLUPA PRIV SCHOOL
01-DD-000856,"VOX DEI PLAY & LEARN CENTER, INC-IMUS",BUC,"B-22 L-11 Ph-2, ACM Woodstock Homes,","Alapan I-A, Imus, Cavite", , ,
01-DF-000270/01-DF-000271,LICEO DE LOS BANOS (E/HS),BUC,M.Palis,"Los Banos, Laguna", ,San Pablo,LICEO
01-DF-000515,STA. MARIA ACADEMY,BUC,Poblacion Brgy.2,"Sta. Maria, Laguna", , ,LAPRISADA
01-DF-000278/01-DF-000279,LICEO DE PILA (E/HS),BUC,St. Anthony of Padua Parish,"Rivera St., Pila, Laguna", ,San Pablo,LICEO
01-NH-000050,MARY CAUSE OF OUR JOY CATH.SCH,BUC,Soldiers Hills Village,Muntinlupa City, , ,
01-DD-000426,LA CAMELLE SCHOOL,BUC,"Pieces St., Ph-II C,","Camella Homes Subd.,Bacoor, Cavite", , ,CAPS
01-DD-000235,DUNNHILL ACADEMY,BUC,"Salawag,","Dasmarinas, Cavite", , ,
01-DD-000579,OXFORD LOUIS ACADEMY,BUC,"B-7 L-3 Saipan St., Emerald Crest Subd.","San Agustin, Dasmarinas, Cavite", , ,CAPS
01-DD-000524,METANOIAH ACADEMY,BUC,"Blk 102 L-31-40, Ph-IV, Mabuhay City,","Paliparan, Dasmarinas, Cavite", , ,
01-DD-000051,ASIAN TRINITY SCHOOL,BUC,"Dasma Gardenville, Congress'l East","Ave., Dasmarinas, Cavite", , ,CAPS
01-DF-000388,PANORAMA MONT. SCHOOL - BINAN,BUC,"Hiway - Canlalay,","Binan, Laguna", , ,LAPRISADA
01-DD-000586,PATNUBAY ACADEMY,BUC,(Formerly Patnubay Kiddie L.C.),"037 San Juan, Noveleta, Cavite", , ,CAPS
01-DD-000270,GAZELLAN COLLEGE,BUC,(Magallanes Kiddie L.C.) Pob. IV,"#90 M. de Guia St. Magallanes, Cavite", , ,
01-DF-000095,CHRISTIAN SCIENCE ACADEMY,BUC,"Series II, Waling-Waling","Canlubang, Laguna", , ,
01-NH-000062,MUNTINLUPA INST.OF TECHNOLOGY,BUC,"National Road,","Poblacion, Muntinlupa City", , ,MUNTINLUPA PRIV SCHOOL
01-DF-000389,PANORAMA MONT. SCHOOL-STA.ROSA,BUC,PANORAMA VILLAGE BGY DITA,"Sta. Rosa, Laguna", , ,LAPRISADA
01-DD-000883,INFANT JESUS MONT.-SILANG,BUC,"Bry. Puting Kahoy, Sta. Rosa Heights,","Silang, Cavite", , ,CAPS
01-DD-000033,AMORE ACADEMY,BUC,"Brgy. Luciano,","Trece Martirez City, Cavite", , ,CAPS
01-DD-000358,INDANG CHRISTIAN ACADEMY,BUC, Alulod St,"Indang, Cavite", , ,
01-DF-000465,ST. CLAIRE SCHOOL - CABUYAO,BUC,"Ph. I B-2 L-18, Lakeside,","Banay-Banay, Laguna", , ,
01-DF-000263/01-DF-000264,IMMACULATE CONCEPCION CATH. (E/HS)-CALAMBA,BUC,BGY MAKILING ANNEX,"Calamba City, Laguna", ,San Pablo,LICEO
01-DD-000920,BEULAH LAND INTEGRATED SCIENCE SCHOOL,BUC,"Fairway View,","Dasmarinas, Cavite", , ,CAPS
01-DF-000062,CAPITOL VIEW CHRISTIAN SCHOOL,BUC,"P GUEVARRA ST,INFRONT LAGUNA CAPITOL","Sta. Cruz, Laguna", , ,
01-DF-000233,JOSEPH & MARY ACADEMY,BUC,"Rainbow Ave., Pacita Complex II,","San Pedro, Laguna", , ,LAPRISADA
01-DF-000055,CANLUBANG CHRISTIAN SCHOOL,BUC,"227 Sabio St., Mayapa","Canlubang, Laguna", , ,LAPRISADA
01-DF-000495,ST. PETER & PAUL EARLY CHILD CENTER,BUC,"B-10 L-88-89, Ph.III,","Golden City, Sta. Rosa, Laguna", , ,
01-DD-000609,PRINCE ARIES CHRISTIAN SCHOOL,BUC,"B-3 L-3 Goldenville II,","Sabang, Dasmarinas, Cavite", , ,
01-DF-000275,LICEO DE PAETE,BUC,PUROK 9,"Paete, Laguna", ,San Pablo,LICEO
01-NH-000032,INFANT JESUS MONT.-MUNTINLUPA,BUC,"357 MIDLAND ALLEY ST,","Tunasan, Muntinlupa City", , ,MUNTINLUPA PRIV SCHOOL
01-DF-000026,ARISE AND SHINE ACADEMY,BUC,"12 J.P. Rizal Ave.,","Cabuyao, Laguna", , ,LAPRISADA
01-DD-000905,"DRUMMOND LIGHT ACADEMY, INC.",BUC,,, , ,
01-DF-000276,LICEO DE PAGSANJAN,BUC,"Gen.Taino St.,","Pagsanjan, Laguna", ,San Pablo,LICEO
01-DD-000283,GOD THE ALMIGHTY ACADEMY,BUC,"B-10 L-10 Winward Hills,","DBB Area B, Dasmarinas, Cavite", , ,CAPS
01-DD-000209,DE ROMAN MONTESSORI SCHOOL,BUC,119 ROSAL ST AMAYA 1,"Tanza, Cavite", , ,CAPS
01-DF-000205,INFANT JESUS MONT. CENTER-BINAN,BUC,"Blk.2-A L-2-A Ph. 3-D, Archery St.,","Macaria Village, Binan, Laguna", , ,LAPRISADA
01-DF-000267,LICEO DE CALAUAN,BUC,"Brgy.Silangan,","Calauan, Laguna", ,San Pablo,LICEO
01-NH-000047,LIVING LIGHT ACADEMY-MUNTINLUPA,BUC,VILLA EMILLA SUBD,"Putatan, Muntinlupa City", , ,MUNTINLUPA PRIV SCHOOL
01-DD-000853,VILLAGGIO IGNATIUS IN'L. SCHOOL,BUC,Villaggio Ignatius,"Buenavista I, Gen. Trias, Cavite", , ,CAPS
01-DF-000584,LITTLE ANGELS CHRISTIAN SCHOOL-PAGSANJAN,BUC,Frmly:LITTLE ANGELS CHRISTIAN SCHOOL,"J.P. Rizal St.,Pagsanjan, Laguna", , ,LAPRISADA
01-DF-000296,LITTLE PEOPLE SCHOOL,BUC,BGY SAN ISIDRO,"Bay, Laguna", , ,LAPRISADA
01-DD-000231,COLEGIO DE FRANCESCA (FRMLY:DOR'S),BUC,(Dor's X'tian School)Sunny Brooke II,"San Francisco, Gen. Trias, Cavite", , ,CAPS
01-DF-000009,AGNUS DEI SCHOOL SYSTEM INC.,BUC,"167 Fiesta Blvd.,","Holinday Hill Vill., San Pedro, Laguna", , ,LAPRISADA
01-DF-000169,GREATLAND KINDER & GRADE SCH.,BUC,"Aurora Heights Subd.,","San Pedro, Laguna", , ,LAPRISADA
01-DF-000525,SUNNY VILLE SCHOOL,BUC,"Frmly:Kids Ville Sch.-B-127 L-1&2 Ph.2,","Mabuhay City, Mamatid, Cabuyao, Laguna", , ,CAPS
01-DD-000813,THE BLESSING IN THE WORD SCHOOL,BUC,"155  J.P. Rizal Ave.,","Kaybagal South, Tagaytay City, Cavite", , ,CAPS
01-DF-000261,LICEO DE BAY,BUC,"0 Rizal Ave., Brgy. San Agustin","Bay, Laguna", ,San Pablo,LICEO
01-DD-000146,CHILD OF ZION ACADEMY,BUC,"Tatic Homes, Zone II,","Bulihan, Silang, Cavite", , ,CAPS
01-DF-000399,PRINCETON ACADEMY,BUC,"Ph.5 Blk. 99 L-384,","Laguna Bel-Air, Sta. Rosa, Laguna", , ,LAPRISADA
01-NH-000015,CHRISTIAN LOVE SCHOOL,BUC,"J.P. Rizal Street,","Poblacion, Muntinlupa City", , ,
01-DF-000575,TWIN STARS SCHOOL OF CALAMBA CITY,BUC,,, , ,
01-DF-000202/01-DF-000203,IMM. CONCEPCION SCHOOL-DON BOSCO (E/HS),BUC,"Valenzuela St.,","Sta. Cruz, Laguna", ,San Pablo,LICEO
01-DF-000464,ST. CHARLES AGUSTINE SCHOOL,BUC,(Formerly Little Wonders Lrng. Ctr.),"Brgy. Timbao, Binan, Laguna", , ,LAPRISADA
01-DD-000203,DANSART ANGEL LEARNING SCHOOL,BUC,"B-24 L-13-14, Summerwind IV,","Dasmarinas, Cavite", , ,CAPS
01-DD-000795,STO. NINO DE LEBELLE ACADEMY,BUC,"St. Anthony St., Belvedere Town's","Paradahan, Tanza, Cavite", , ,CAPS
01-DF-000207,INFANT JESUS MONT.-SAN PEDRO,BUC,"Woodhills, Camella Homes,,","San Pedro, Laguna", , ,LAPRISADA
01-DF-000269,LICEO DE LILIW,BUC,"GAT TAYAW ST,","Liliw, Laguna", ,San Pablo,LICEO
01-DD-000514,MARY MEDIATRIX OF ALL GRACE SCH.,BUC,"Pius St., Windward Hills Subd.,","DBB II, Dasmarinas, Cavite", , ,CAPS
01-DF-000538,TRACE COLLEGE,BUC,"El Danda St.,","Brgy. Batong Malake, Los Banos, Laguna", , ,LAPRISADA
01-DD-000487,LYCEUM OF CAVITE EAST (RAISING KIDS),BUC,"(Raising Kids CDC) PhII, Regina Vill'02","Brgy. Inocensio, Trece Martirez City", , ,CAPS
01-DF-000273,LICEO DE MAJAYJAY,BUC,"Plaza Rizal St.,","Majayjay, Laguna", ,San Pablo,LICEO
01-DD-000166,CHRISTIAN JOAN SCHOOL,BUC,Malagasang II-G,"Imus, Cavite", , ,CAPS
01-DD-000835,TRIUMPHANT CHRISTIAN SCHOOL,BUC,"565 Gen. Bautista St.,","Imus, Cavite", , ,CAPS
01-DF-000358,NAGCARLAN MONTESSORI SCHOOL,BUC,"Rizal Ave.,","Nagcarlan, Laguna", , ,LAPRISADA
01-DF-000274,LICEO DE MAMATID (HS),BUC,"Mamatid,","Cabuyao, Laguna", ,San Pablo,LICEO
01-DF-000521,LOS BANOS DAY CARE CENTER,BUC,,, , ,DSWD
01-DD-000060,BAKERSFIELD LEARNING CENTER,BUC,"B-1 L-4 Sunnydale Villas,","Malagasang I-B, Imus, Cavite", , ,
01-DF-000439,SHEPHERD FLOCK SCH. OF CABUYAO,BUC,DME COMPOUND BGY PULO,"Pulo, Cabuyao, Laguna", , ,LAPRISADA
01-DF-000434,ST. JOSEPH SCHOOL OF CABUYAO,BUC,(Frmly: St. Joseph School),"Ph. I,St. Joseph Vill, Cabuyao, Laguna", , ,LAPRISADA
01-DD-000219,DISCIPLES LEARNING ACADEMY,BUC,410 bgy SABANG,"Dasmarinas, Cavite", , ,CAPS
01-DF-000409,REAL CHRISTIAN SCHOOL (DOOR OF FAITH),BUC,(Formerly Door of Faith X'tian Sch.),"Brgy. Real, Calamba City, Laguna", , ,LAPRISADA
01-DF-000602,"WELLSPRING ACADEMY OF CANLUBANG, INC",BUC,"B-42 L-12&14 Palao 2, Kapayapaan Vill.,","Canlubang, Calamba City, Laguna",,,LAPRISADA
01-DD-000601,PLAINVIEW ACADEMY,BUC,"Congressional Rd., Dasma.,","Bagong Bayan, F2, Dasma., Cavite", , ,
01-DD-000229,DORCAS KINDERGARTEN SCHOOL,BUC,# 5 dela Pena St,"Amadeo, Cavite", , ,CAPS
01-DD-000910,PTM JESUS IS LOVE ACADEMY,BUC,"Asia Pacific Mission Center-NIA Rd.,","Paliparan I, Dasmarinas, Cavite", , ,CAPS
01-DD-000171,CHRISTIAN VISION SCH. OF DASMA.,BUC,"39 Don Placido Campus St.,","Dasmarinas, Cavite", , ,CAPS
01-DD-000866,WISDOM WORLD ACADEMY,BUC,"0191 Celestino St., New Niog Village,","Niog, Bacoor, Cavite", , ,
01-DF-000043,BLESSED JAMES CUSMANO ACADEMY,BUC,Brgy. San Antonio,"Mabitac, Laguna", , ,LAPRISADA
01-DF-000597,JUBILATION INTERNATIONAL MONTESSORI CTR.,BUC,"Ph.II Evergreen Country,","Jubilation Subd., Binan City, Laguna",,,LAPRISADA
01-DF-000240,KIDDIE INTEGRATED DEV'T SCH.,BUC,"361 Chipeco Ave., Lucheria,","Calamba City, Laguna", , ,LAPRISADA
01-DD-000901,MEMORARE ACADEME OF CAVITE,BUC,,, , ,CAPS
01-DF-000331,MARY'S CHILD LRNG. CTR.-BINAN,BUC,"San Francisco Home,","Binan, Laguna", , ,LAPRISADA
01-DF-000189,HOLY FAMILY OF NAZARETH SCH.-BAY,BUC,"Y. Calces St.,","San Nicholas, Bay, Laguna", , ,LAPRISADA
01-NH-000013,CHRIST THE KING SCHOOL,BUC,"Jaysonville II,","Putatan, Muntinlupa City", , ,MUNTINLUPA PRIV SCHOOL
01-DF-000489,ST. MARY'S ACADEMY-NAGCARLAN,BUC,(Formerly Sacred Heart Academy),"Nagcarlan, Laguna",RVM,,
01-DF-000609,ST. CLAIR OF ASSISI LEARNING CENTER,BUC,Brgy.Gulod,"Brgy. Gulod, Cabuyao, Laguna",,,
01-NH-000078,SACRED HEART INSTITUTE,BUC,"Katihan St., Poblacion,",Muntinlupa City, , ,MUNTINLUPA PRIV SCHOOL
